,artist_name,artist_id,genres,followers,popularity
2T5aannIdmhbbNMF0Eap4u,Jaded Heart,Jaded Heart,2T5aannIdmhbbNMF0Eap4u,"['german hard rock', 'melodic hard rock', 'modern hard rock', 'nwocr']","{'href': None, 'total': 18650}",28
75txqStVuE5UPJb2Cmc9Hv,Thanatology,Thanatology,75txqStVuE5UPJb2Cmc9Hv,"['mexican metal', 'pornogrind']","{'href': None, 'total': 1520}",2
6R7zLKFpRPiNEviExANRhY,The Committee,The Committee,6R7zLKFpRPiNEviExANRhY,['atmospheric black metal'],"{'href': None, 'total': 3145}",10
4TOZ3LCqnbocg5WVUkQppI,Deep Sun,Deep Sun,4TOZ3LCqnbocg5WVUkQppI,['swiss metal'],"{'href': None, 'total': 785}",6
2MREuYGHEN7mgincJ6SVCD,Desert Altar,Desert Altar,2MREuYGHEN7mgincJ6SVCD,['virginia metal'],"{'href': None, 'total': 88}",0
7k7F0013ca2A7Sk2NZkFNf,Landmine,Landmine,7k7F0013ca2A7Sk2NZkFNf,['korean metal'],"{'href': None, 'total': 95}",0
1gA55xnafhPiBIM07ZlXHA,Hexis,Hexis,1gA55xnafhPiBIM07ZlXHA,"['blackened crust', 'blackgaze', 'chaotic hardcore', 'danish black metal', 'post-black metal', 'post-doom metal', 'sludgecore', 'voidgaze']","{'href': None, 'total': 6424}",22
4cB45LAHnQJ1gfY4xW7hYk,Wolves' Winter,Wolves' Winter,4cB45LAHnQJ1gfY4xW7hYk,['black metal argentino'],"{'href': None, 'total': 744}",4
48AQK46MqXcg6Q5pDC8bDS,Hedor,Hedor,48AQK46MqXcg6Q5pDC8bDS,"['metal colombiano', 'technical brutal death metal']","{'href': None, 'total': 290}",0
46fVAfy9rVrND3jxvAdLAF,Anhedonia,Anhedonia,46fVAfy9rVrND3jxvAdLAF,['downtempo deathcore'],"{'href': None, 'total': 959}",5
7hxDsJyld0SlN7N6FXYG20,Black Fast,Black Fast,7hxDsJyld0SlN7N6FXYG20,"['progressive thrash', 'technical thrash']","{'href': None, 'total': 8673}",12
6Dj9szixvQ2DxT6H5xcMFL,Tsygun,Tsygun,6Dj9szixvQ2DxT6H5xcMFL,['russian hardcore'],"{'href': None, 'total': 1486}",11
4u2FEVv8H4ElR9kHQcIoVz,Abramis Brama,Abramis Brama,4u2FEVv8H4ElR9kHQcIoVz,['swedish stoner rock'],"{'href': None, 'total': 4065}",12
0YxSv3EC8so159M3doFdgB,A Storm of Light,A Storm of Light,0YxSv3EC8so159M3doFdgB,"['atmospheric sludge', 'drone metal', 'post-metal']","{'href': None, 'total': 8100}",6
640tsQkl9FqbKArMHtHzQY,Cursed by the Fallen,Cursed by the Fallen,640tsQkl9FqbKArMHtHzQY,['deep metalcore'],"{'href': None, 'total': 133}",0
2Ap9Pfy9iLTWxrulmPDhYF,Upsidedown Cross,Upsidedown Cross,2Ap9Pfy9iLTWxrulmPDhYF,['drone metal'],"{'href': None, 'total': 1044}",3
4pQN0GB0fNEEOfQCaWotsY,Helloween,Helloween,4pQN0GB0fNEEOfQCaWotsY,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'rock', 'speed metal']","{'href': None, 'total': 1043081}",59
3tHGF5slEeN5Nr89GWG8Mn,Facto Alfa,Facto Alfa,3tHGF5slEeN5Nr89GWG8Mn,['bolivian metal'],"{'href': None, 'total': 72}",0
7Hdw4a52rgrOTyZmj3uQBO,Liar Symphony,Liar Symphony,7Hdw4a52rgrOTyZmj3uQBO,['brazilian heavy metal'],"{'href': None, 'total': 461}",1
6RBAyt8eX9YmQU9mtmzF5z,Painful Memories,Painful Memories,6RBAyt8eX9YmQU9mtmzF5z,['gothic doom'],"{'href': None, 'total': 190}",1
0SWKrljgHUNYD3KplPchyG,Coronatus,Coronatus,0SWKrljgHUNYD3KplPchyG,"['german metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'opera metal', 'slayer', 'symphonic metal', 'symphonic power metal']","{'href': None, 'total': 20148}",27
65dAmwvMgEpRxb720eYY8r,Twinspirits,Twinspirits,65dAmwvMgEpRxb720eYY8r,"['italian metal', 'italian progressive metal', 'melodic progressive metal']","{'href': None, 'total': 462}",0
0kMM8CEy46DycDSrpfgl2A,Horcrux,Horcrux,0kMM8CEy46DycDSrpfgl2A,['canadian metalcore'],"{'href': None, 'total': 1417}",4
1LC9G5jqosufT48QBBqwl7,Power from Hell,Power From Hell,1LC9G5jqosufT48QBBqwl7,"['black speed metal', 'black thrash', 'brazilian black metal']","{'href': None, 'total': 11223}",20
4EaLkY9y2jtjVIUjpGNK2z,Monomania,Monomania,4EaLkY9y2jtjVIUjpGNK2z,['southeast asian post-rock'],"{'href': None, 'total': 2164}",12
0mj9VKFGIlacROcaZszP1I,Moss upon the Skull,Moss Upon The Skull,0mj9VKFGIlacROcaZszP1I,['belgian death metal'],"{'href': None, 'total': 197}",0
