9th Entity,black metal//death metal
:Twingiant:,stoner metal
A Baptism by Fire,power metal//progressive metal
A Blind Prophecy,progressive metal
A Breach of Silence,metalcore metal//death metal
A Brutal Confession,thrash metal
A Buried Existence,metalcore metal//death metal
A Call to Arms,thrash metal//speed metal
A Canorous Quintet,death metal
A Caress of Twilight,black metal
A Clockwork Opera,symphonic metal
A Crime of Passion,deathcore metal//death metal//progressive metal
A Dark Performance,gothic metal
A Dark Place,death metal
A Dawn Within,metalcore metal//death metal//progressive metal
A Day of Pigs,sludge metal
A Day to Fall,death metal//thrash metal
A Dead End Society,metalcore metal//death metal
A Distant Sun,black metal//doom metal
A Fallen Martyr,groove metal//thrash metal
A Flourishing Scourge,black metal//death metal//progressive metal
A Fonds Perdu,gothic metal
A Hill to Die Upon,black metal//death metal
A Hitman's Business,deathcore metal
A House Cursed,groove metal//death metal
A Legend Falls,progressive metal
A Lie Nation,black metal
A Life Less Alive,death metal
A Life Once Lost,metalcore metal//groove metal
A Limine,black metal//death metal
A Loathing Requiem,death metal
A Love Ends Suicide,metalcore metal//progressive metal//heavy metal
A Million Dead Birds Laughing,death metal//grindcore metal
A Mother Engulfed in 3 Characters,black metal
A Night at the Chalet,deathcore metal
A Pale December,black metal
A Pinga e o Diabo,groove metal
A Plague in Faith,death metal
A Pregnant Light,black metal
A Pyrrhic Victory,metalcore metal
A Red Dawn,metalcore metal//death metal
A Red Nightmare,deathcore metal
A Sailor's Grave,metalcore metal
A Scar for the Wicked,deathcore metal
A Sense of Gravity,progressive metal
A Sickness Called Conscious,death metal
A Sin for a Prayer,metalcore metal//death metal
A Sleepless Malice,death metal
A Solemn Death,black metal//death metal
A Sorrowful Dream,death metal//gothic metal//doom metal
A Soul Called Perdition,death metal
A Taste of Fear,death metal//thrash metal
A Taste of Freedom,heavy metal
A Tempered Heart,gothic metal
A Texas Funeral,metalcore metal//death metal//thrash metal
A Theory on Conquest,death metal//experimental metal
A Thousand Buried Infants,death metal
A Thousand Reasons,death metal//thrash metal
A Thousand Times Repent,metalcore metal//death metal
A Tortured Soul,heavy metal
A Total Wall,groove metal//death metal//industrial metal
A Traitor like Judas,metalcore metal//death metal
A Tree,black metal
A Tree of Signs,doom metal
A Very Old Ghost Behind the Farm,sludge metal//doom metal
A Walk Through Peril,metalcore metal//death metal
A Winter Lost,black metal
A Winter Within,black metal
A Worse Case Scenario,death metal
A Young Man's Funeral,death metal//doom metal
A*Teem,death metal
A.D,thrash metal
A.D. Massacre,black metal//death metal//thrash metal
A.D.D.,groove metal//heavy metal
A.D.N,sludge metal//groove metal
A.D.N.,heavy metal
A.G.E.S.,thrash metal
A.I.D.S.,black metal
A.M.,sludge metal//doom metal
A.M.E.S.,death metal//thrash metal
A.N.T.I.,industrial metal
A.S.A.P.,heavy metal
A.S.A.R.R,heavy metal
A.S.D.,thrash metal
A.TAXET.A,black metal
A.U.X.,power metal//heavy metal
ABACABB,deathcore metal
ACOD,black metal//death metal//industrial metal
ADS,heavy metal
AEIOU,black metal
AEON,black metal//experimental metal
AEiOU,black metal
AK-11,black metal
AK-47,thrash metal//heavy metal
ANS,thrash metal
AOV,groove metal//thrash metal
ART 238,death metal//industrial metal//grindcore metal
ATC,heavy metal
Aabsynthum,doom metal
Aanomm,black metal
Aardoz,heavy metal
Aarghh,death metal//thrash metal
Aarni,avant-garde metal//doom metal
Aaron Pearson,heavy metal
Aarson,power metal//heavy metal
Aasdgoihasdghexekul,black metal//experimental metal//doom metal
Aasimon,heavy metal
Aastraal,black metal//avant-garde metal
Aathma,stoner metal//doom metal
Aauatlan Tliltik,black metal
Aazed,groove metal//industrial metal
Ab Noctem,black metal//folk metal
Ab Occulto,black metal
Ab:Norm,death metal//grindcore metal
Abacination,black metal//death metal//thrash metal
Abaddon Codex,death metal//symphonic metal
Abaddon RD,heavy metal
Abaddon's Abyss,black metal//death metal
Abaddons Breed,black metal//death metal//grindcore metal
Abadon,death metal//power metal//heavy metal
Abadoom,gothic metal
Abandon,sludge metal//black metal//power metal//thrash metal//doom metal
Abandoned,death metal//thrash metal
Abandoned Grave,death metal//grindcore metal
Abandoned Life,death metal//doom metal
Abandoned Palace,doom metal
Abandoned Sphinx,thrash metal
Abandoned World,deathcore metal
Abash,death metal//thrash metal
Abate Macabro,black metal
Abatuar,black metal//death metal
Abbath,black metal
Abbatoir,black metal//death metal
Abbot,doom metal
Abbysmal,death metal
Abceassed,black metal
Abduction,black metal//death metal//thrash metal
Aberrated,death metal//progressive metal//thrash metal
Aberration,black metal//death metal//power metal//thrash metal
Aberrazione,death metal//thrash metal
Abesforia,death metal//doom metal
Abgeneigt,black metal
Abhorer,black metal//death metal//thrash metal
Abhorgod,black metal
Abhorre,black metal
Abhorred,black metal//death metal//thrash metal//grindcore metal
Abhorred Devil,black metal
Abhorrence,metalcore metal//black metal//death metal//thrash metal//grindcore metal
Abhorrent,groove metal//black metal//death metal//thrash metal//grindcore metal
Abhorrent Dogs,black metal//symphonic metal
Abhorrent Flesh,death metal
Abhorrer,death metal
Abhorrot,black metal//death metal
Abigail's Mercy,gothic metal
Abigorum,black metal//doom metal
Abinitio,death metal//progressive metal//thrash metal
Abiotix,heavy metal
Abismo Negro,heavy metal
Abissal,black metal
Abizar,black metal
Abject 666,black metal
Abject Sorrow,black metal
Abjekt,death metal
Abjure,black metal//death metal//thrash metal
Abjured,death metal//grindcore metal
Abkehr,black metal
Ablasa,black metal
Ablaze My Sorrow,death metal
Ablazen,thrash metal
Abnegate,groove metal
Abnegated,death metal
Abnegatum Christus,black metal
Abnormal Thaughtz,groove metal//power metal//thrash metal
Abnormality,death metal//thrash metal
Abnormyndeffect,death metal//grindcore metal
Aboleo,black metal
Abolish,black metal//thrash metal
Abolitio Nominis,black metal
Abolition,metalcore metal//black metal//death metal
Abolition of Impediment,death metal
Abominal Mortus,death metal
Abominant,death metal
Abominate,sludge metal//black metal//death metal
Abomination Federation,stoner metal//heavy metal
Abomination Wide,death metal//thrash metal
Abominatus,black metal
Abominus,death metal
Abonation,death metal
Abonos,symphonic metal//gothic metal//thrash metal
Aborda,death metal
Aborning,death metal
Abortarium,death metal//grindcore metal
Aborted Christians,black metal//death metal//grindcore metal
Aborted Existence,death metal
Aborym,black metal//industrial metal
About: Blank,groove metal//thrash metal
Above the Storm,death metal
Abrahma,stoner metal//doom metal
Abraksas,black metal
Abrasantia,symphonic metal
Abrasion,death metal//thrash metal//heavy metal
Abrasis,death metal//thrash metal
Abrasive,death metal
Abraxis,metalcore metal//death metal
Abreast,death metal//thrash metal
Abriosis,death metal
Abrogation,death metal
Abs Conditus,black metal
Abscession,death metal
Abscesy,death metal//grindcore metal
Abscission,death metal
Absconder,death metal
Absconditus,black metal
Absence of Despair,metalcore metal
Absence of Fear,metalcore metal//death metal//thrash metal
Absence of Salvation,thrash metal
Absens,black metal//progressive metal
Absent,death metal
Absent Mind,black metal//death metal
Absentation,death metal
Absinity,death metal//progressive metal//thrash metal
Absintdebellum,black metal//death metal
Absolon,power metal//thrash metal//heavy metal
Absolu,black metal
Absolute Fucking Chaos,black metal//death metal//thrash metal
Absolute Madness,thrash metal
Absolute Power,heavy metal
Absolution,deathcore metal//death metal//thrash metal
Absolution Denied,death metal
Absolutus Amorphos,death metal//progressive metal
Absolva,heavy metal
Absone,metalcore metal
Abstract Butchery,death metal
Abstract Essence,black metal//progressive metal//doom metal
Abstract Shadows,progressive metal//heavy metal
Abstract Spirit,doom metal
Abstract Survival,death metal//thrash metal
Abstracta,progressive metal
Abstracted,death metal//progressive metal//thrash metal
Abstraction,black metal//death metal//power metal//progressive metal//doom metal
Abstrus,black metal//death metal
Absun,death metal
Absurd,black metal//death metal//pagan metal//progressive metal//thrash metal//heavy metal
Absurd Conception,death metal
Absurd Existence,death metal//doom metal
Absurd Universe,death metal
Absurdeity,death metal//thrash metal
Absurdo Culto,death metal//thrash metal
Absurdoom,black metal
Absvrdist,grindcore metal
Absynth Aura,gothic metal
Abuse Ritual,death metal
Abused Majesty,black metal//symphonic metal
Abuso,death metal
Abutor Ensis,black metal//symphonic metal
Abuzorg,black metal
Abxtract,power metal//thrash metal
Aby-Kem,death metal//thrash metal
Abynormal,heavy metal
Abysm,death metal//thrash metal
Abysmal Chaos,black metal
Abysmal Dawn,death metal
Abysmal Dimensions,doom metal
Abysmal Lord,black metal//death metal
Abysmal Scorn,black metal
Abysmal Torment,death metal
Abysme,death metal
Abyss,metalcore metal//groove metal//black metal//death metal//power metal//progressive metal//viking metal//gothic metal//industrial metal//thrash metal//heavy metal//doom metal
Abyss Angel,black metal//death metal//industrial metal//thrash metal//doom metal
Abyss of Decay,groove metal
Abyss of Sheowl,black metal
Abyss of Sorrow,death metal//thrash metal
Abyssal,black metal//death metal//thrash metal//doom metal
Abyssal Flames,death metal
Abyssed,black metal//thrash metal
Abyssial,black metal
Abyssian,gothic metal//doom metal
Abyssian Desolation,black metal
Abysskvlt,doom metal
Abyssmal Nocturne,black metal
Abyssmal Sorrow,black metal//doom metal
Abysso,black metal
Abyssos,black metal
Abyssous,death metal
Abyssthrone,death metal
Abythic,death metal
Abythos,black metal//doom metal
Abyz,death metal
Abzofran,groove metal//progressive metal
Acalmy,speed metal
Acanon,death metal
Acantha,progressive metal//thrash metal//heavy metal
Acariya,metalcore metal//thrash metal
Acaro,metalcore metal//death metal//thrash metal
Acaros,death metal//thrash metal
Accelerate,heavy metal
Accept,heavy metal
Acceptus Noctifer,black metal
Accessory,death metal//thrash metal
Accidental Suicide,death metal//thrash metal//heavy metal//doom metal
Accomplice,progressive metal
Accryl,heavy metal
Accuracy,groove metal//thrash metal
Accursed Dawn,death metal//thrash metal
Ace the Raven,death metal//power metal//thrash metal
Acedia Mundi,black metal
Acedio,power metal//heavy metal
Aceium,heavy metal
Aceldama,death metal//thrash metal//heavy metal
Acephala,death metal
Acephalus,death metal//thrash metal
Acephaly,death metal
Acerbic Angel,thrash metal
Acerbus,black metal//death metal
Acero de Guerra,power metal
Acerus,heavy metal
Acheode,deathcore metal//death metal
Achernar,death metal
Acheron's Chaos,black metal//death metal
Acheronthia Styx,death metal
Aching Beauty,progressive metal
Achiral,black metal//progressive metal//thrash metal
Achral Necrosis,black metal
Achsan,death metal
Achsar,black metal//death metal//doom metal
Achymer,progressive metal
Acicula,death metal
Acid Brigade,thrash metal
Acid Cross,black metal//thrash metal
Acid Fury,thrash metal
Acid Grime,sludge metal
Acid Knight,thrash metal
Acid Rain,black metal//power metal//progressive metal//thrash metal//heavy metal
Acid Reign,thrash metal
Acis,heavy metal
Ackeron,black metal//death metal
Ackomas,black metal
Aclinic Line,death metal//gothic metal
Acolyte,black metal//power metal//progressive metal
Acolyte's Ruin,black metal
Acoustical Crime,death metal//gothic metal//thrash metal
Acranis,death metal//thrash metal
Acrid Nebula,death metal//thrash metal//doom metal
Acridity,thrash metal
Acritud,death metal//thrash metal
Acromatica,death metal
Across the Abyss,power metal//heavy metal//folk metal
Across the Burning Sky,death metal
Across the Swarm,death metal
Acrotomofilia,death metal//grindcore metal
Acrybia,black metal//death metal//industrial metal//doom metal
Act 3,gothic metal
Act Happy,black metal
Act of Cohesion,groove metal//thrash metal
Act of Grotesque,death metal
Act of Misery,thrash metal
Act of Sin,metalcore metal//thrash metal
Acta Sanctorum,black metal
Acte Profane,black metal
Action Bass Tom Band,death metal//doom metal
Action Jackson,metalcore metal//death metal//thrash metal
Action!,heavy metal
Active Core,death metal//thrash metal
Acts of Rage,deathcore metal//death metal
Actum Inferni,black metal
Actus Fidei,black metal//death metal
Acultis Imperium,black metal//symphonic metal
Ad Aeternum,black metal
Ad Astra,black metal//death metal//power metal//progressive metal
Ad Leitmotiv,death metal//progressive metal
Ad Mortem Eternam,death metal
Ad Nauseum,death metal
Ad Nemori,death metal
Ad Nonum Lapidem,black metal//thrash metal
Ad Patres,black metal//death metal//progressive metal
Ad Ruinas,death metal
Ad Verita,power metal//progressive metal
Adabroc,black metal
Adagio del Limbo,gothic metal
Adagium,power metal
Adam Belial,black metal//symphonic metal
Adam's Revenge,heavy metal
Adamantium,thrash metal
Adastreia,symphonic metal//gothic metal
Addraunara,black metal
Ade,death metal//folk metal
Adendum Demise,black metal//doom metal
Adenine,metalcore metal//death metal
Adgar,power metal
Adi Metal Rock,heavy metal
Adiktus,power metal
Adimiron,black metal//death metal//progressive metal//thrash metal
Adlivun,death metal
Admiral Browning,stoner metal
Admit,heavy metal
Admonisher,power metal//heavy metal
Adnihil,death metal
Adogma,black metal
Adokhsiny,black metal//death metal
Adolf Castle,power metal//heavy metal//folk metal
Adonais,black metal
Adoniram,black metal
Adore,black metal
Adorn,progressive metal//thrash metal
Adorned Graves,death metal//thrash metal
Adramma,metalcore metal//death metal
Adrastyr,black metal
Adrenaline Kings,heavy metal
Adrian English,heavy metal
Adrian Raso,progressive metal
Adulam,progressive metal//heavy metal
Adumus,black metal
Adustum,black metal
Advaita,black metal//pagan metal//doom metal
Advance,heavy metal
Advenians,death metal//doom metal
Adveniat Hiems,black metal
Advent Fog,black metal//death metal//symphonic metal
Advent of the Sun,power metal//progressive metal
Adventus,power metal//heavy metal
Adversus,black metal
Advice,heavy metal
Advocatus Diaboli,black metal//pagan metal//symphonic metal//gothic metal
Aeba,black metal
Aedera Obscura,black metal//symphonic metal
Aedh,black metal
Aedroth,black metal//death metal
Aegaeon,deathcore metal
Aegir,black metal//death metal//viking metal
Aegnor,black metal
Aegror,black metal//death metal
Aegrotationis,black metal
Aenigmata,progressive metal//gothic metal
Aenomy,metalcore metal//death metal//progressive metal
Aeolian Fire,black metal
Aeon Aethereal,black metal//death metal//thrash metal
Aeon Throne,black metal//death metal
Aeon of Disease,death metal
Aeonic Dream,power metal//progressive metal
Aeonless,black metal//doom metal
Aeonus,black metal
Aephanemer,death metal
Aequitas a Noctem,death metal
Aequiternus,death metal//doom metal
Aeranea,gothic metal//doom metal
Aeresis,death metal
Aerion,metalcore metal//thrash metal
Aersion,death metal//thrash metal
Aerugo,black metal//doom metal
Aeryth,symphonic metal//power metal
Aes Dana,black metal//folk metal
Aesacus,progressive metal
Aesculetum,black metal
Aesmadiv,black metal
Aesta,black metal
Aesthesis,death metal
Aeterna Hystoria,progressive metal
Aeterna Nox,gothic metal
Aeterno Lamento Sideras,black metal
Aeternum Malum,black metal
Aeternum Vale,black metal//doom metal
Aeternus,black metal//death metal
Aethara,metalcore metal//death metal
Aetheric,death metal
Aetheris,power metal//heavy metal
Aetherius,progressive metal
Aetherius Obscuritas,black metal
Aethernaeum,black metal//folk metal
Aethernus,power metal//heavy metal
Aethra,symphonic metal//power metal
Aethyr,black metal//death metal//doom metal//folk metal
Aethyrick,black metal
Aeturnus Dominion,death metal
Aevium,death metal//progressive metal
Aevlord,black metal//symphonic metal//experimental metal
Affinity Hypothesis,death metal
Afflictive Emasculation,death metal
Afflitus,metalcore metal//death metal
Affy Puff,thrash metal
Afgunst,black metal
Afogado,black metal
Aforism,death metal
Afrobomination,death metal//thrash metal
After,death metal//thrash metal
After All,thrash metal
After Death,death metal//power metal//heavy metal
After Image,symphonic metal//power metal//progressive metal
After Life,groove metal//death metal//thrash metal
After Oblivion,death metal//thrash metal
After Therapy,heavy metal//doom metal
After the Burial,metalcore metal//deathcore metal//progressive metal
After the Darkness,symphonic metal//gothic metal
After the Silence,progressive metal//heavy metal
After the Storm,heavy metal
After the Sun,metalcore metal//doom metal
After@All,progressive metal
Afterburning,heavy metal
Afterdark,heavy metal
Afterforever,thrash metal//heavy metal
Afterglo,heavy metal
Afterimage,metalcore metal//death metal
Aftershok,heavy metal
Afterzero,thrash metal
Agael,black metal
Against Nature,progressive metal//doom metal
Against the Plagues,black metal//death metal
Agalloch,doom metal
Agartha,black metal//power metal//heavy metal
Agarwaen Dagorlad,power metal//speed metal
Agata,heavy metal
Agate,gothic metal
Agathion,black metal
Agaurez,black metal
Agazul,black metal
Agdistis,black metal
Age Limit 20,groove metal//thrash metal
Age of Agony,death metal//thrash metal//speed metal
Age of Artemis,power metal
Age of Heresy,black metal
Age of Nefilim,black metal//symphonic metal
Age of Nemesis,progressive metal
Age of Taurus,doom metal
Age of War,death metal
Agencya,metalcore metal
Agenda of Swine,death metal//thrash metal//grindcore metal
Agent Metal,power metal//speed metal
Agent Omega,black metal//symphonic metal
Agent Slimepunk,death metal
Agents of Satan,sludge metal//doom metal
Agentz,heavy metal
Ages,black metal
Aggresion,death metal//thrash metal
Aggression Overload,black metal//industrial metal
Aggressive Disorder,thrash metal//heavy metal
Aggressive Injection,thrash metal
Aggressive Measures,death metal
Aggressive Mutilator,black metal
Aggressive Tyrants,death metal//grindcore metal
Aggressor State,thrash metal//speed metal
Aggressus,thrash metal
Aggro,death metal
Aggroculture,thrash metal
Aghast,black metal//death metal//progressive metal//gothic metal//doom metal
Aghazagrimmr,black metal
Aghor,death metal
Aghro Maynins,black metal
Agilator,death metal//grindcore metal
Aglaia,heavy metal
Agnes Vein,black metal//doom metal
Agnideva,black metal
Agnostic Death,death metal
Agnosy,death metal
Agnus Meatplow,death metal//thrash metal
Agogh,gothic metal
Agogna Morta,black metal//death metal//symphonic metal
Agonal,death metal//gothic metal//doom metal
Agonhymn,sludge metal//progressive metal//doom metal
Agonize,black metal//death metal//thrash metal
Agonize Death,death metal
Agonized,death metal//progressive metal
Agony,black metal//death metal//gothic metal//thrash metal//heavy metal
Agony Column,heavy metal
Agony Voices,death metal//doom metal
Agorazheim,black metal
Agorgoth,black metal
Agorhy,death metal//grindcore metal
Agoriz,metalcore metal//death metal//thrash metal
Agorphos,black metal//symphonic metal
Agoyzen,death metal
Agresiva,thrash metal
Agressive,thrash metal
Agrestia,black metal
Agribater,black metal//thrash metal
Agroterrorism,death metal//grindcore metal
Agyptus,death metal
Ah Ciliz,black metal
Ahasverus,progressive metal//heavy metal
Ahazu,black metal
Ahein Cied,black metal
Aherusia,black metal//folk metal
Ahna,black metal//death metal//doom metal
Ahnenerbe,black metal//death metal
Ahnnias,death metal
Ahoora,power metal//progressive metal//thrash metal
Ahpdegma,black metal
Ahraghal,black metal
Ahrihann,black metal
Ahura Mazda,heavy metal
Aigilas,black metal
Aillion,heavy metal
Aimoptysi,death metal
Ain Sof Aur,black metal
Ain't Dead Yet,heavy metal
Ain't No Use,thrash metal
Aina,black metal//symphonic metal//power metal//heavy metal
Ainshval,black metal
Ainur,black metal//power metal//progressive metal
Aion-6,death metal//power metal
Air Raid,thrash metal//heavy metal
Air Sickness Bag,death metal//thrash metal
Air-Raid,heavy metal
Airare Nuf,heavy metal
Aireard,heavy metal
Airraid,thrash metal//speed metal
Aisnatorn,black metal
Aisuragua,black metal
Aiwass,metalcore metal//black metal//death metal
Ajatus,death metal
Ajdath,death metal//thrash metal
Ajna,industrial metal//thrash metal
Ak'Bal,groove metal
Aka Funeral,black metal
Akanatomb,death metal
Akant,thrash metal
Akashah,black metal
Akasica,power metal//heavy metal
Akatharsia,black metal
Akatharton,black metal
Akbal,death metal
Akela,power metal//thrash metal
Akgnar,black metal
Akheron,black metal//thrash metal
Akheronte,black metal//thrash metal
Akhkharu Noctis,black metal
Akhnakh,death metal
Akhtamar,progressive metal
Aki Kato,doom metal
Akilkarsa,black metal//death metal
Akin,progressive metal
Akkadian,black metal//death metal
Aklash,black metal
Akmuveth,black metal
Akoman,black metal
Akouphenom,black metal//death metal
Akphaezya,avant-garde metal//progressive metal
Akraganth,death metal
Akrival,black metal
Akromusto,black metal
Akron,progressive metal//doom metal
Akroterion,black metal//doom metal
Aksaya,black metal//death metal
Aksiterror,stoner metal
Akt,power metal//heavy metal
Aktaion,metalcore metal//death metal
Akuma,metalcore metal//black metal//death metal//pagan metal
Al Azif,death metal//thrash metal
Al Iblis,death metal
Al Joseph,progressive metal
Al Rinach 333,black metal
Al-Azazhil,black metal
Al-Azif,black metal//death metal
Al-Kamar,black metal
AlNamrood,black metal//folk metal
Alabama Thunderpussy,stoner metal
Alabarda,heavy metal
Alalutu,black metal
Alamogordo,death metal
Alan Blaisdell,death metal
Alareiks,death metal
Alarido,black metal//heavy metal
Alarma,death metal//progressive metal//heavy metal
Alaska,progressive metal//heavy metal
Alastis,black metal//gothic metal
Alastor,groove metal//black metal//death metal//thrash metal//heavy metal//doom metal
Alastor Sanguinary Embryo,black metal
Alastria,symphonic metal//power metal
Alator,folk metal
Alazif,thrash metal//heavy metal
Albino Python,stoner metal//doom metal
Albino Slug,avant-garde metal//experimental metal
Alborde,heavy metal
Alboys,heavy metal
Album,sludge metal//thrash metal//heavy metal
Alcest,black metal
Alchemaster's Apprentice,black metal
Alchemicon,thrash metal
Alchemist,black metal//death metal//avant-garde metal//power metal//progressive metal//thrash metal
Alchil,power metal//speed metal
Alchimia,gothic metal//doom metal
Alchimia 2012,death metal//grindcore metal
Alcoholic Bastards of Hell,thrash metal
Alcoholic D.C.,thrash metal
Alcoholic Disaster,thrash metal
Alcoholic Mosh,thrash metal
Alcoholic Possession,thrash metal
Alcoholic Trendkill,thrash metal
Alcyone,black metal//progressive metal
Alda,black metal
Aldaria,power metal
Aldebaran,sludge metal//black metal//heavy metal//doom metal
Aldor,death metal//thrash metal
Aldri,stoner metal//doom metal
Aldrlag,black metal
Ale Brukman's Zaedyus Project,progressive metal//folk metal
Alecrate,groove metal//death metal
Alef,progressive metal//thrash metal
Alefla,power metal
Alegionnaire,sludge metal//stoner metal//progressive metal
Alegory,power metal//heavy metal
Aleister,black metal//death metal//thrash metal//heavy metal
Alejandro Silva Power Cuarteto,progressive metal
Alek Darson,progressive metal
Alekto,groove metal//death metal
Aleron,thrash metal
Alesia,death metal
Aletheia,stoner metal//progressive metal//thrash metal
Alevosia,heavy metal
Alex Scire,sludge metal//heavy metal
AlexItimia,death metal
Alexander Palitsin,progressive metal//thrash metal
Alexander Paul Blake,black metal
Alfa,death metal//thrash metal
Alfred's Violin,death metal//progressive metal
Algarothsyum,black metal//death metal
Algebra,thrash metal
Algesic Massacre,death metal//thrash metal
Algia Potestad,thrash metal
Algorithm ov Void,black metal
Algos,death metal//doom metal
Algoz,heavy metal
Alhazred,death metal//progressive metal//doom metal
Alhue,death metal
Alias Mundi,groove metal//progressive metal//experimental metal
Alibech,gothic metal
Alibi for a Murder,metalcore metal//death metal
Alice Against the Wonderland,deathcore metal//death metal
Alice in Darkland,death metal//gothic metal//doom metal
Alice in Thunderland,heavy metal
Alien Avenge,death metal
Alien Conspiracy,black metal//death metal
Alien Forcep,progressive metal//thrash metal
Alien Garden,death metal//progressive metal
Alienation,groove metal//death metal//thrash metal
Aliengates,death metal
Alignak,black metal
Alison Hell,power metal//heavy metal
Alive,death metal//heavy metal//grindcore metal
Alive Dissection,death metal
Alkhon,power metal
Alkiir,thrash metal
Alkmorhilyion,black metal
Alkoholic Devastation,thrash metal
Alkymenia,thrash metal
All,death metal//thrash metal
All American Organ Grinder,death metal
All Belong to Us,metalcore metal
All Day Hatred,death metal
All Dies,doom metal
All Eternity,power metal
All Fiendish Spiryt,black metal
All Hallow's Evil,death metal
All I Could Bleed,death metal
All Kings Fall,groove metal
All My Sins,black metal
All Pigs Must Die,metalcore metal
All Remains Insane,metalcore metal//thrash metal
All Shades of Grey,doom metal
All Shall Perish,deathcore metal
All Souls' Day,doom metal
All That Is Evil,death metal
All Too Human,power metal//progressive metal
All Will Fall,death metal
All the Cold,black metal//progressive metal
Allagash,thrash metal//heavy metal
Allegoria,death metal
Allegorist,symphonic metal//gothic metal
Allegra Combricca,heavy metal
Allegro Con Fuoco,thrash metal
Allegro Furioso,power metal
Alleyrat,heavy metal
Alliance,progressive metal//heavy metal
Allies,thrash metal//heavy metal
Allochiria,sludge metal
Allos,power metal//progressive metal
Allow,heavy metal
Allowance,death metal//thrash metal
Alloy 20,power metal//progressive metal
Alma Madre,black metal//pagan metal
Alma Oscura,doom metal
Almanac,symphonic metal//power metal//heavy metal
Almarhum,black metal
Almas Inmortales,heavy metal
Almatrash,thrash metal//heavy metal
Almoranaz,death metal
Almost Saint,black metal//heavy metal
Alocer,black metal
Alone Against All,death metal
Alone in Mourning,electronic metal//black metal//avant-garde metal
Aloop,groove metal//death metal
Alpha Galates,progressive metal
Alpha Zero,death metal//progressive metal
Alpheratz,heavy metal
Alpthraum,black metal
Alptraum,black metal
Alrakis,black metal
Alraune,black metal
Alruin,sludge metal//black metal
Alta Densidad,power metal
Altaar,doom metal
Altamira,gothic metal//doom metal
Altar Stomper,death metal
Altar Whore,death metal
Altar of Ash,stoner metal//doom metal
Altar of Perversion,black metal
Altar of the Apocalypse,black metal//death metal//thrash metal
Altaria,power metal
Altars of Sin,black metal//thrash metal
Altars of Suffering,death metal
Altarscream,thrash metal
Altazor,heavy metal
Altemis,heavy metal
Alter Drown,thrash metal
Altera Enigma,progressive metal
Altercate,death metal
Altered,death metal//thrash metal
Altered Aeon,thrash metal
Altered Shade,death metal//thrash metal
Altered Symmetry,progressive metal
